Trial_id,Probe,Target,Ass_strength,Category,Wlevel,,,,Probe,,,,,,,,,Target,,,,,,,
140,podium,gymnast,4.5000000,med,5,,,,,0.89,0.96,0,0.28,6,508,-1,,,0,0,0,0,7,-1,-1
141,leopard,zoo,4.9295977,high,6,,,,,6.59,7.11,0,0.88,7,580,-1,,,8.72,9.34,0.77,0.99,3,613,-1
142,tractor,hay,4.9511494,high,6,,,,,6.87,7.35,0.77,0.9,7,655,-1,,,14.86,15.9,1.54,1.2,3,597,-1
143,antique,museum,5.1278736,high,6,,,,,12.68,12.47,15.38,1.14,7,549,-1,,,30.61,30.42,33.08,1.5,6,-1,587
144,method,recipe,5.1666667,high,6,,,,,76.7,77.77,63.08,1.89,6,304,-1,,,9.55,9.88,5.38,1.02,6,-1,-1
145,bookmark,page,5.2500000,high,6,,,,,0,0,0,0,8,-1,-1,,,65.25,64.58,73.85,1.82,4,555,-1
146,submarine ,diver,5.2500000,high,6,,,,,9.83,10.12,6.15,1.03,9,588,-1,,,0.89,0.96,0,0.28,5,-1,558
147,bedroom, dresser,5.2916667,high,6,,,,,55.87,59.22,13.08,1.75,7,629,-1,,,4.64,5,0,0.75,7,506,-1
148,rabbi,synagogue,5.3333333,high,6,,,,,5.25,5.06,7.69,0.8,5,545,-1,,,3.41,3.67,0,0.64,9,498,-1
149,squirrel,woodland,5.3390805,high,6,,,,,3.52,3.8,0,0.66,8,642,-1,,,12.63,13.55,0.77,1.13,8,608,-1
150,hymn, organ,5.4375000,high,6,,,,,6.37,6.39,6.15,0.87,4,399,-1,,,13.35,13.61,10,1.16,5,576,-1
151,cactus,desert,5.4827586,high,6,,,,,2.12,2.29,0,0.49,6,-1,-1,,,38.77,40.9,11.54,1.6,6,615,-1
152, bonus,extra,5.5000000,high,6,,,,,8.99,8.92,10,1,5,325,-1,,,81.4,81.33,82.31,1.92,5,337,-1
153,paddle,kayak,5.5000000,high,6,,,,,1.68,1.75,0.77,0.43,6,-1,-1,,,0,0,0,0,5,-1,-1
154,apple,orchard,5.5100575,high,6,,,,,17.6,18.67,3.85,1.27,5,637,-1,,,5.31,5.6,1.54,0.8,7,545,-1
155,menu,meal,5.5704023,high,6,,,,,7.26,7.77,0.77,0.92,4,613,-1,,,53.07,54.7,32.31,1.73,4,573,378
